x,u
    0.000000,    0.536593
    0.010000,    0.536593
    0.020000,    0.536448
    0.030000,    0.536188
    0.040000,    0.535759
    0.050000,    0.535223
    0.060000,    0.534537
    0.070000,    0.533692
    0.080000,    0.532792
    0.090000,    0.531589
    0.100000,    0.530526
    0.110000,    0.528921
    0.120000,    0.527726
    0.130000,    0.525725
    0.140000,    0.524341
    0.150000,    0.522074
    0.160000,    0.520297
    0.170000,    0.518039
    0.180000,    0.515572
    0.190000,    0.513566
    0.200000,    0.510347
    0.210000,    0.508357
    0.220000,    0.505007
    0.230000,    0.502106
    0.240000,    0.499569
    0.250000,    0.495331
    0.260000,    0.492967
    0.270000,    0.489276
    0.280000,    0.484736
    0.290000,    0.482599
    0.300000,    0.478058
    0.310000,    0.472678
    0.320000,    0.470850
    0.330000,    0.467229
    0.340000,    0.459153
    0.350000,    0.453513
    0.360000,    0.455492
    0.370000,    0.463424
    0.380000,    0.473741
    0.390000,    0.484532
    0.400000,    0.495280
    0.410000,    0.505909
    0.420000,    0.516411
    0.430000,    0.526785
    0.440000,    0.537027
    0.450000,    0.547136
    0.460000,    0.557108
    0.470000,    0.566942
    0.480000,    0.576634
    0.490000,    0.586182
    0.500000,    0.595584
    0.510000,    0.604838
    0.520000,    0.613941
    0.530000,    0.622892
    0.540000,    0.631687
    0.550000,    0.640324
    0.560000,    0.648802
    0.570000,    0.657118
    0.580000,    0.665271
    0.590000,    0.673257
    0.600000,    0.681076
    0.610000,    0.688725
    0.620000,    0.696203
    0.630000,    0.703507
    0.640000,    0.710635
    0.650000,    0.717587
    0.660000,    0.724359
    0.670000,    0.730952
    0.680000,    0.737362
    0.690000,    0.743588
    0.700000,    0.749629
    0.710000,    0.755483
    0.720000,    0.761149
    0.730000,    0.766625
    0.740000,    0.771910
    0.750000,    0.777003
    0.760000,    0.781902
    0.770000,    0.786606
    0.780000,    0.791114
    0.790000,    0.795425
    0.800000,    0.799538
    0.810000,    0.803451
    0.820000,    0.807164
    0.830000,    0.810676
    0.840000,    0.813986
    0.850000,    0.817094
    0.860000,    0.819997
    0.870000,    0.822696
    0.880000,    0.825190
    0.890000,    0.827479
    0.900000,    0.829561
    0.910000,    0.831437
    0.920000,    0.833105
    0.930000,    0.834566
    0.940000,    0.835818
    0.950000,    0.836863
    0.960000,    0.837698
    0.970000,    0.838326
    0.980000,    0.838744
    0.990000,    0.838953
    1.000000,    0.838953
    1.010000,    0.838744
    1.020000,    0.838326
    1.030000,    0.837698
    1.040000,    0.836863
    1.050000,    0.835818
    1.060000,    0.834566
    1.070000,    0.833105
    1.080000,    0.831437
    1.090000,    0.829561
    1.100000,    0.827479
    1.110000,    0.825190
    1.120000,    0.822696
    1.130000,    0.819997
    1.140000,    0.817094
    1.150000,    0.813986
    1.160000,    0.810676
    1.170000,    0.807164
    1.180000,    0.803451
    1.190000,    0.799538
    1.200000,    0.795425
    1.210000,    0.791114
    1.220000,    0.786606
    1.230000,    0.781902
    1.240000,    0.777003
    1.250000,    0.771910
    1.260000,    0.766625
    1.270000,    0.761149
    1.280000,    0.755483
    1.290000,    0.749629
    1.300000,    0.743588
    1.310000,    0.737362
    1.320000,    0.730952
    1.330000,    0.724359
    1.340000,    0.717587
    1.350000,    0.710635
    1.360000,    0.703507
    1.370000,    0.696203
    1.380000,    0.688725
    1.390000,    0.681076
    1.400000,    0.673257
    1.410000,    0.665271
    1.420000,    0.657118
    1.430000,    0.648802
    1.440000,    0.640324
    1.450000,    0.631687
    1.460000,    0.622892
    1.470000,    0.613941
    1.480000,    0.604838
    1.490000,    0.595584
    1.500000,    0.586182
    1.510000,    0.576634
    1.520000,    0.566942
    1.530000,    0.557108
    1.540000,    0.547136
    1.550000,    0.537027
    1.560000,    0.526785
    1.570000,    0.516411
    1.580000,    0.505909
    1.590000,    0.495280
    1.600000,    0.484532
    1.610000,    0.473741
    1.620000,    0.463424
    1.630000,    0.455492
    1.640000,    0.453513
    1.650000,    0.459153
    1.660000,    0.467229
    1.670000,    0.470850
    1.680000,    0.472678
    1.690000,    0.478058
    1.700000,    0.482599
    1.710000,    0.484736
    1.720000,    0.489276
    1.730000,    0.492967
    1.740000,    0.495331
    1.750000,    0.499569
    1.760000,    0.502106
    1.770000,    0.505007
    1.780000,    0.508357
    1.790000,    0.510347
    1.800000,    0.513566
    1.810000,    0.515572
    1.820000,    0.518039
    1.830000,    0.520297
    1.840000,    0.522074
    1.850000,    0.524341
    1.860000,    0.525725
    1.870000,    0.527726
    1.880000,    0.528921
    1.890000,    0.530526
    1.900000,    0.531589
    1.910000,    0.532792
    1.920000,    0.533692
    1.930000,    0.534537
    1.940000,    0.535223
    1.950000,    0.535759
    1.960000,    0.536188
    1.970000,    0.536448
    1.980000,    0.536593
    1.990000,    0.536593
